Skill,Attack_Potential,Defense_Potential,Racket_Price,Racket_Flexibility,Racket_Name
9,4,8,10,1,Victor Thruster K Falcon
8,9,8,5,7,Yonex Nanoray Z-Speed
5,1,1,3,3,Victor Thruster K Falcon
2,4,9,7,9,Yonex Astrox 99
5,6,5,6,6,Victor Thruster K Falcon
8,6,4,4,9,Li-Ning 3D Calibar 900
10,8,6,2,5,Li-Ning 3D Calibar 900
9,1,6,9,7,Babolat Satelite Gravity 74
9,7,2,1,4,Li-Ning Turbo Charging 75
1,1,8,4,7,Victor Thruster K Falcon
9,7,7,1,1,Victor Jetspeed S 12
7,3,1,6,7,Li-Ning 3D Calibar 900
9,8,5,4,8,Yonex Voltric Z-Force II
8,3,6,5,5,Li-Ning Turbo Charging 75
1,1,4,5,2,Yonex Astrox 99
8,8,2,9,5,Yonex Nanoray Z-Speed
8,3,4,1,6,Yonex Nanoray Z-Speed
3,2,1,2,2,Li-Ning 3D Calibar 900
1,1,7,6,6,Li-Ning Turbo Charging 75
8,3,2,5,6,Li-Ning 3D Calibar 900
3,2,2,7,1,Yonex Nanoray Z-Speed
3,2,9,3,1,Yonex Voltric Z-Force II
1,6,5,3,10,Victor Thruster K Falcon
5,1,2,10,3,Li-Ning Turbo Charging 75
10,2,9,2,10,Babolat Satelite Gravity 74
7,6,9,3,10,Victor Thruster K Falcon
10,3,1,10,3,Victor Thruster K Falcon
9,4,3,1,4,Victor Thruster K Falcon
7,1,4,5,2,Babolat Satelite Gravity 74
9,8,7,5,9,Yonex Voltric Z-Force II
8,7,10,7,10,Yonex Astrox 99
2,7,4,4,7,Yonex Voltric Z-Force II
1,3,2,3,7,Yonex Voltric Z-Force II
7,10,7,1,6,Yonex Voltric Z-Force II
7,10,6,8,3,Victor Jetspeed S 12
8,3,3,3,6,Li-Ning 3D Calibar 900
5,2,6,2,8,Yonex Nanoray Z-Speed
3,1,6,4,8,Li-Ning 3D Calibar 900
8,7,5,3,9,Li-Ning Turbo Charging 75
6,7,4,1,1,Yonex Voltric Z-Force II
3,2,10,3,1,Yonex Astrox 99
1,7,1,2,3,Li-Ning Turbo Charging 75
3,8,10,8,3,Li-Ning 3D Calibar 900
5,1,6,6,10,Yonex Nanoray Z-Speed
3,9,2,9,8,Babolat Satelite Gravity 74
1,7,3,8,10,Li-Ning 3D Calibar 900
5,3,8,10,1,Victor Thruster K Falcon
10,8,10,3,2,Li-Ning 3D Calibar 900
7,7,6,5,2,Victor Thruster K Falcon
7,8,3,7,3,Babolat Satelite Gravity 74
9,6,7,5,6,Li-Ning 3D Calibar 900
10,9,4,8,1,Yonex Astrox 99
10,5,9,5,2,Yonex Astrox 99
3,3,5,1,1,Li-Ning Turbo Charging 75
7,3,3,5,5,Babolat Satelite Gravity 74
1,1,2,4,7,Yonex Voltric Z-Force II
4,8,2,6,8,Yonex Astrox 99
4,2,3,3,10,Li-Ning 3D Calibar 900
5,3,2,5,1,Babolat Satelite Gravity 74
7,8,4,2,7,Yonex Nanoray Z-Speed
7,8,2,6,5,Victor Thruster K Falcon
4,4,10,6,10,Li-Ning 3D Calibar 900
7,4,9,5,1,Victor Thruster K Falcon
3,5,2,6,3,Victor Thruster K Falcon
6,6,9,7,7,Yonex Voltric Z-Force II
2,5,6,5,10,Babolat Satelite Gravity 74
10,7,1,1,1,Babolat Satelite Gravity 74
9,2,4,8,7,Li-Ning Turbo Charging 75
5,7,1,4,5,Victor Thruster K Falcon
6,10,6,9,1,Li-Ning Turbo Charging 75
4,7,4,10,1,Yonex Voltric Z-Force II
10,1,3,6,1,Victor Thruster K Falcon
7,7,3,1,9,Li-Ning Turbo Charging 75
9,5,9,3,3,Li-Ning Turbo Charging 75
7,3,6,3,5,Yonex Nanoray Z-Speed
1,3,9,10,10,Li-Ning Turbo Charging 75
1,4,5,4,9,Babolat Satelite Gravity 74
9,2,2,6,6,Li-Ning Turbo Charging 75
9,2,8,7,9,Victor Thruster K Falcon
4,1,5,10,8,Li-Ning Turbo Charging 75
9,5,2,4,8,Yonex Astrox 99
3,4,4,6,1,Victor Jetspeed S 12
7,10,9,1,9,Victor Thruster K Falcon
6,2,4,8,6,Yonex Astrox 99
8,3,4,7,9,Yonex Voltric Z-Force II
9,7,2,9,3,Victor Thruster K Falcon
5,7,6,3,3,Babolat Satelite Gravity 74
1,4,2,2,6,Victor Jetspeed S 12
3,5,7,1,9,Victor Jetspeed S 12
10,5,3,3,7,Babolat Satelite Gravity 74
8,6,3,5,3,Victor Jetspeed S 12
6,9,5,2,3,Babolat Satelite Gravity 74
8,2,3,3,2,Yonex Astrox 99
9,5,2,4,9,Yonex Voltric Z-Force II
4,3,10,7,3,Yonex Nanoray Z-Speed
1,4,9,3,5,Victor Thruster K Falcon
1,10,2,9,9,Babolat Satelite Gravity 74
10,6,2,8,8,Victor Thruster K Falcon
4,8,8,4,2,Yonex Voltric Z-Force II
7,1,9,1,3,Yonex Astrox 99
2,10,7,1,2,Yonex Nanoray Z-Speed
3,8,3,1,8,Yonex Voltric Z-Force II
1,7,9,1,6,Yonex Astrox 99
5,1,3,8,6,Victor Jetspeed S 12
1,2,5,3,9,Victor Thruster K Falcon
8,3,9,6,8,Li-Ning 3D Calibar 900
1,1,3,3,4,Yonex Nanoray Z-Speed
1,9,7,5,4,Victor Jetspeed S 12
2,8,1,7,9,Yonex Voltric Z-Force II
2,2,4,2,1,Yonex Nanoray Z-Speed
6,9,4,6,2,Victor Jetspeed S 12
7,7,7,6,2,Yonex Astrox 99
5,9,8,3,6,Babolat Satelite Gravity 74
1,6,1,6,4,Victor Thruster K Falcon
1,6,5,10,10,Li-Ning Turbo Charging 75
3,4,7,10,3,Li-Ning Turbo Charging 75
2,10,4,5,3,Yonex Astrox 99
5,10,4,2,3,Yonex Voltric Z-Force II
10,2,4,9,6,Victor Thruster K Falcon
6,7,6,8,8,Yonex Voltric Z-Force II
7,5,7,3,7,Victor Thruster K Falcon
4,6,2,8,4,Yonex Astrox 99
7,2,5,9,4,Victor Thruster K Falcon
8,5,4,3,10,Babolat Satelite Gravity 74
1,10,3,3,2,Yonex Voltric Z-Force II
6,4,7,2,1,Yonex Astrox 99
8,9,6,8,9,Babolat Satelite Gravity 74
5,6,7,10,2,Victor Thruster K Falcon
4,2,5,1,8,Yonex Astrox 99
2,1,6,8,9,Victor Thruster K Falcon
6,5,5,7,4,Yonex Voltric Z-Force II
6,9,7,7,8,Yonex Astrox 99
1,6,2,3,9,Victor Thruster K Falcon
9,10,5,1,10,Yonex Voltric Z-Force II
6,7,6,4,10,Babolat Satelite Gravity 74
3,5,6,9,5,Li-Ning 3D Calibar 900
4,10,5,5,7,Babolat Satelite Gravity 74
4,6,10,1,10,Victor Thruster K Falcon
3,5,7,5,4,Yonex Astrox 99
10,9,10,8,1,Li-Ning Turbo Charging 75
3,6,8,8,3,Babolat Satelite Gravity 74
3,8,7,5,5,Babolat Satelite Gravity 74
4,2,5,9,3,Yonex Voltric Z-Force II
7,9,1,1,7,Victor Jetspeed S 12
4,5,5,4,9,Li-Ning Turbo Charging 75
9,7,10,3,6,Victor Thruster K Falcon
1,10,2,2,10,Li-Ning 3D Calibar 900
8,1,5,8,1,Yonex Astrox 99
7,10,5,7,7,Victor Jetspeed S 12
2,5,2,9,3,Victor Thruster K Falcon
8,10,5,2,5,Yonex Nanoray Z-Speed
1,2,4,4,10,Li-Ning 3D Calibar 900
9,6,1,6,4,Babolat Satelite Gravity 74
9,1,3,3,10,Yonex Nanoray Z-Speed
2,3,1,8,5,Babolat Satelite Gravity 74
7,5,5,3,5,Babolat Satelite Gravity 74
10,4,4,2,6,Yonex Nanoray Z-Speed
3,3,7,3,10,Li-Ning 3D Calibar 900
7,10,5,6,10,Yonex Voltric Z-Force II
10,5,10,2,6,Yonex Nanoray Z-Speed
9,8,4,8,8,Victor Thruster K Falcon
4,4,2,1,8,Victor Jetspeed S 12
1,1,4,7,9,Victor Jetspeed S 12
2,7,2,2,8,Yonex Nanoray Z-Speed
1,8,8,10,2,Victor Thruster K Falcon
5,3,3,6,10,Yonex Voltric Z-Force II
5,6,9,2,1,Victor Jetspeed S 12
7,2,4,2,10,Victor Thruster K Falcon
9,7,6,10,2,Yonex Voltric Z-Force II
9,8,10,8,2,Victor Thruster K Falcon
3,6,5,2,3,Babolat Satelite Gravity 74
3,6,10,7,10,Victor Jetspeed S 12
3,5,1,3,7,Yonex Voltric Z-Force II
4,8,9,8,2,Victor Jetspeed S 12
8,1,1,7,1,Babolat Satelite Gravity 74
6,10,8,8,6,Yonex Nanoray Z-Speed
8,4,9,7,9,Babolat Satelite Gravity 74
1,4,9,6,3,Victor Jetspeed S 12
8,3,1,7,6,Victor Jetspeed S 12
4,3,2,5,3,Li-Ning 3D Calibar 900
1,4,1,7,1,Yonex Voltric Z-Force II
8,1,10,1,5,Yonex Nanoray Z-Speed
4,2,2,1,10,Babolat Satelite Gravity 74
6,9,10,9,4,Yonex Voltric Z-Force II
8,10,8,5,7,Yonex Astrox 99
4,2,5,5,6,Yonex Voltric Z-Force II
3,5,7,3,10,Yonex Astrox 99
9,9,2,5,7,Yonex Nanoray Z-Speed
3,9,8,3,5,Babolat Satelite Gravity 74
9,8,6,9,4,Babolat Satelite Gravity 74
2,1,8,9,7,Victor Thruster K Falcon
2,1,1,6,7,Victor Jetspeed S 12
2,9,1,1,6,Li-Ning Turbo Charging 75
6,8,7,7,8,Li-Ning 3D Calibar 900
3,10,8,7,4,Yonex Voltric Z-Force II
9,9,3,10,10,Yonex Nanoray Z-Speed
4,7,5,10,5,Li-Ning Turbo Charging 75
1,3,1,4,4,Yonex Voltric Z-Force II
4,3,7,8,1,Li-Ning Turbo Charging 75
1,2,5,6,8,Yonex Nanoray Z-Speed
5,5,8,4,1,Babolat Satelite Gravity 74
4,3,8,4,5,Yonex Nanoray Z-Speed
8,6,9,2,6,Yonex Voltric Z-Force II
8,2,7,2,6,Li-Ning Turbo Charging 75
7,3,1,4,5,Victor Jetspeed S 12
3,5,3,5,3,Li-Ning 3D Calibar 900
1,1,8,8,5,Li-Ning 3D Calibar 900
1,1,3,6,8,Victor Jetspeed S 12
3,10,8,4,2,Victor Jetspeed S 12
6,9,1,7,6,Babolat Satelite Gravity 74
7,7,5,8,9,Yonex Voltric Z-Force II
6,1,4,2,8,Yonex Astrox 99
6,8,5,7,8,Yonex Nanoray Z-Speed
6,3,8,2,8,Li-Ning 3D Calibar 900
3,8,10,2,7,Victor Jetspeed S 12
6,5,4,8,8,Yonex Nanoray Z-Speed
8,1,4,2,6,Li-Ning 3D Calibar 900
2,7,3,9,2,Victor Jetspeed S 12
5,5,7,1,2,Yonex Voltric Z-Force II
1,6,3,9,8,Li-Ning 3D Calibar 900
1,6,3,1,1,Babolat Satelite Gravity 74
5,8,10,10,6,Yonex Astrox 99
3,9,5,10,6,Yonex Astrox 99
4,2,5,2,4,Victor Jetspeed S 12
3,9,6,6,10,Li-Ning 3D Calibar 900
1,10,8,6,3,Babolat Satelite Gravity 74
1,9,10,1,3,Victor Thruster K Falcon
5,10,6,7,1,Yonex Nanoray Z-Speed
6,10,1,8,3,Yonex Nanoray Z-Speed
3,7,8,2,4,Li-Ning Turbo Charging 75
9,1,8,8,5,Babolat Satelite Gravity 74
5,7,9,9,3,Li-Ning 3D Calibar 900
8,10,9,6,6,Yonex Voltric Z-Force II
1,5,2,5,5,Yonex Voltric Z-Force II
5,6,2,9,3,Li-Ning Turbo Charging 75
3,10,3,9,6,Victor Jetspeed S 12
1,7,1,1,6,Li-Ning 3D Calibar 900
4,5,4,3,8,Li-Ning Turbo Charging 75
5,7,4,9,2,Yonex Astrox 99
7,9,9,2,1,Yonex Nanoray Z-Speed
1,3,9,4,4,Li-Ning 3D Calibar 900
3,8,9,4,7,Li-Ning Turbo Charging 75
2,2,10,2,10,Yonex Astrox 99
9,7,7,3,3,Babolat Satelite Gravity 74
10,2,2,3,3,Li-Ning Turbo Charging 75
6,4,10,1,5,Victor Jetspeed S 12
10,7,5,6,5,Victor Jetspeed S 12
3,3,4,8,10,Victor Jetspeed S 12
8,2,8,3,3,Li-Ning 3D Calibar 900
8,10,2,5,9,Yonex Voltric Z-Force II
2,7,6,1,4,Yonex Voltric Z-Force II
6,1,5,10,3,Yonex Nanoray Z-Speed
7,8,2,7,2,Li-Ning Turbo Charging 75
2,3,10,10,10,Babolat Satelite Gravity 74
10,2,1,1,9,Li-Ning Turbo Charging 75
2,3,8,9,4,Yonex Nanoray Z-Speed
10,5,2,8,3,Yonex Astrox 99
1,8,7,7,7,Yonex Nanoray Z-Speed
8,10,9,10,8,Victor Jetspeed S 12
1,7,9,7,2,Li-Ning 3D Calibar 900
9,7,8,5,7,Yonex Astrox 99
6,7,10,5,5,Li-Ning 3D Calibar 900
7,8,9,5,5,Victor Jetspeed S 12
10,1,2,1,3,Victor Thruster K Falcon
7,4,6,8,5,Yonex Nanoray Z-Speed
10,6,4,1,2,Yonex Nanoray Z-Speed
3,9,4,4,4,Babolat Satelite Gravity 74
2,2,5,9,6,Li-Ning Turbo Charging 75
9,1,3,9,1,Yonex Astrox 99
8,10,1,5,10,Yonex Voltric Z-Force II
10,2,8,4,4,Li-Ning 3D Calibar 900
7,7,5,3,6,Yonex Astrox 99
9,3,3,3,9,Babolat Satelite Gravity 74
4,10,10,5,2,Babolat Satelite Gravity 74
4,2,7,10,7,Li-Ning 3D Calibar 900
1,7,7,1,6,Yonex Voltric Z-Force II
8,2,1,5,2,Li-Ning Turbo Charging 75
3,3,9,6,8,Li-Ning 3D Calibar 900
7,7,2,7,7,Li-Ning 3D Calibar 900
2,4,5,9,5,Victor Jetspeed S 12
2,1,5,3,5,Yonex Voltric Z-Force II
7,5,8,2,7,Li-Ning Turbo Charging 75
6,9,8,3,9,Yonex Nanoray Z-Speed
3,8,7,9,9,Victor Jetspeed S 12
9,9,7,7,9,Victor Thruster K Falcon
10,10,6,9,6,Yonex Voltric Z-Force II
6,9,6,2,10,Li-Ning Turbo Charging 75
10,7,9,5,6,Babolat Satelite Gravity 74
10,4,6,4,3,Victor Jetspeed S 12
6,5,2,2,1,Li-Ning Turbo Charging 75
1,1,2,9,7,Yonex Astrox 99
4,1,5,9,4,Li-Ning 3D Calibar 900
10,3,4,6,1,Victor Thruster K Falcon
6,8,2,6,8,Yonex Nanoray Z-Speed
6,2,3,8,6,Li-Ning 3D Calibar 900
5,4,7,6,6,Yonex Astrox 99
1,2,8,1,2,Yonex Astrox 99
8,5,6,4,1,Victor Thruster K Falcon
5,9,5,7,2,Yonex Nanoray Z-Speed
5,1,1,2,4,Babolat Satelite Gravity 74
7,5,8,9,2,Victor Jetspeed S 12
4,9,3,8,1,Yonex Voltric Z-Force II
6,1,6,8,7,Yonex Nanoray Z-Speed
4,9,3,7,8,Yonex Voltric Z-Force II
3,8,7,4,6,Li-Ning Turbo Charging 75
7,4,7,2,4,Yonex Astrox 99
8,10,9,3,6,Li-Ning Turbo Charging 75
4,5,5,6,3,Babolat Satelite Gravity 74
2,5,8,5,8,Li-Ning Turbo Charging 75
10,6,10,8,10,Yonex Nanoray Z-Speed
3,7,10,6,2,Li-Ning Turbo Charging 75
1,8,8,6,5,Babolat Satelite Gravity 74
8,8,1,1,1,Babolat Satelite Gravity 74
3,2,5,4,6,Babolat Satelite Gravity 74
10,9,3,5,2,Yonex Nanoray Z-Speed
7,7,1,3,4,Babolat Satelite Gravity 74
10,4,4,9,6,Yonex Astrox 99
5,4,8,1,10,Li-Ning 3D Calibar 900
10,8,3,6,8,Babolat Satelite Gravity 74
5,4,10,6,8,Li-Ning Turbo Charging 75
7,6,2,10,6,Victor Jetspeed S 12
9,5,9,5,4,Li-Ning Turbo Charging 75
5,3,10,5,8,Victor Jetspeed S 12
1,10,5,10,8,Li-Ning Turbo Charging 75
10,2,7,5,10,Yonex Nanoray Z-Speed
10,9,2,6,1,Li-Ning Turbo Charging 75
1,10,9,8,4,Yonex Nanoray Z-Speed
2,9,9,2,4,Yonex Nanoray Z-Speed
6,1,4,6,7,Babolat Satelite Gravity 74
9,10,4,1,7,Yonex Astrox 99
8,3,6,4,8,Victor Jetspeed S 12
5,8,10,10,5,Babolat Satelite Gravity 74
1,6,10,3,7,Babolat Satelite Gravity 74
7,5,10,9,8,Li-Ning 3D Calibar 900
5,5,6,3,9,Yonex Nanoray Z-Speed
6,6,1,6,3,Yonex Nanoray Z-Speed
7,7,9,1,3,Victor Jetspeed S 12
3,1,2,6,4,Li-Ning Turbo Charging 75
10,9,5,4,5,Li-Ning Turbo Charging 75
3,3,9,8,10,Yonex Voltric Z-Force II
5,4,4,9,1,Babolat Satelite Gravity 74
6,10,3,4,7,Yonex Voltric Z-Force II
9,1,7,10,9,Victor Thruster K Falcon
5,10,6,10,8,Victor Thruster K Falcon
1,3,8,6,5,Yonex Voltric Z-Force II
4,2,3,1,4,Li-Ning Turbo Charging 75
5,2,5,4,7,Victor Thruster K Falcon
10,1,10,7,5,Li-Ning 3D Calibar 900
10,8,4,1,7,Li-Ning Turbo Charging 75
5,3,4,8,1,Yonex Nanoray Z-Speed
7,3,4,10,1,Babolat Satelite Gravity 74
4,6,10,6,10,Yonex Astrox 99
1,8,8,5,3,Babolat Satelite Gravity 74
5,9,6,10,2,Yonex Voltric Z-Force II
7,9,3,9,2,Li-Ning Turbo Charging 75
10,4,10,2,7,Yonex Voltric Z-Force II
10,5,5,5,10,Li-Ning 3D Calibar 900
6,2,6,6,2,Li-Ning Turbo Charging 75
5,9,5,7,4,Babolat Satelite Gravity 74
4,8,6,5,2,Li-Ning 3D Calibar 900
2,3,8,9,6,Li-Ning 3D Calibar 900
4,9,7,1,8,Li-Ning 3D Calibar 900
10,3,5,7,10,Victor Jetspeed S 12
10,9,10,10,4,Li-Ning Turbo Charging 75
3,2,6,7,5,Victor Thruster K Falcon
10,10,4,4,4,Victor Thruster K Falcon
1,9,9,9,3,Li-Ning Turbo Charging 75
8,8,4,5,5,Li-Ning Turbo Charging 75
5,9,1,4,9,Victor Jetspeed S 12
4,5,7,7,8,Victor Thruster K Falcon
8,2,7,4,8,Li-Ning Turbo Charging 75
7,8,4,3,8,Li-Ning Turbo Charging 75
2,6,3,9,8,Yonex Voltric Z-Force II
1,8,8,8,7,Victor Jetspeed S 12
4,5,5,1,8,Victor Jetspeed S 12
8,10,10,7,8,Babolat Satelite Gravity 74
2,2,7,9,8,Victor Jetspeed S 12
3,6,4,8,10,Yonex Astrox 99
1,5,4,8,7,Victor Thruster K Falcon
1,5,8,6,1,Babolat Satelite Gravity 74
3,1,8,4,4,Yonex Astrox 99
5,2,2,8,4,Li-Ning Turbo Charging 75
3,8,2,3,5,Yonex Voltric Z-Force II
1,3,3,9,10,Yonex Voltric Z-Force II
1,10,3,2,6,Li-Ning Turbo Charging 75
8,3,1,2,4,Babolat Satelite Gravity 74
10,8,3,7,2,Victor Jetspeed S 12
2,8,6,10,6,Li-Ning 3D Calibar 900
3,2,8,4,8,Yonex Voltric Z-Force II
2,8,10,10,8,Li-Ning 3D Calibar 900
3,1,6,8,7,Li-Ning Turbo Charging 75
7,6,5,9,6,Li-Ning 3D Calibar 900
1,8,4,7,2,Yonex Nanoray Z-Speed
10,3,3,5,7,Babolat Satelite Gravity 74
8,8,4,8,5,Yonex Astrox 99
10,1,7,4,6,Babolat Satelite Gravity 74
10,9,1,2,10,Victor Thruster K Falcon
10,9,7,6,8,Victor Jetspeed S 12
2,5,1,9,8,Victor Jetspeed S 12
3,10,2,1,3,Babolat Satelite Gravity 74
9,4,4,10,7,Li-Ning Turbo Charging 75
7,6,1,7,1,Li-Ning Turbo Charging 75
4,7,9,10,1,Yonex Nanoray Z-Speed
10,5,6,9,7,Yonex Nanoray Z-Speed
5,10,1,10,10,Victor Jetspeed S 12
2,9,1,9,9,Yonex Nanoray Z-Speed
8,3,6,10,7,Yonex Voltric Z-Force II
4,7,4,3,10,Yonex Voltric Z-Force II
9,10,4,5,5,Yonex Astrox 99
5,10,6,8,8,Yonex Nanoray Z-Speed
9,5,7,8,2,Yonex Astrox 99
4,7,9,4,9,Yonex Nanoray Z-Speed
10,2,10,1,6,Victor Jetspeed S 12
5,4,5,1,9,Victor Jetspeed S 12
9,2,9,4,2,Yonex Astrox 99
8,7,4,6,3,Babolat Satelite Gravity 74
3,2,10,8,8,Victor Jetspeed S 12
1,1,2,6,1,Babolat Satelite Gravity 74
3,9,3,9,10,Li-Ning Turbo Charging 75
4,1,1,9,7,Yonex Voltric Z-Force II
2,8,6,2,7,Yonex Astrox 99
1,2,6,10,1,Li-Ning 3D Calibar 900
7,8,1,1,9,Victor Jetspeed S 12
8,3,3,2,8,Victor Thruster K Falcon
7,6,5,5,4,Li-Ning Turbo Charging 75
5,3,3,4,10,Babolat Satelite Gravity 74
1,7,10,4,5,Victor Jetspeed S 12
7,10,3,9,2,Yonex Astrox 99
7,9,10,8,9,Li-Ning 3D Calibar 900
9,2,3,6,6,Yonex Nanoray Z-Speed
3,5,5,1,3,Li-Ning 3D Calibar 900
9,6,5,2,7,Victor Thruster K Falcon
1,4,4,6,9,Babolat Satelite Gravity 74
1,4,1,2,3,Li-Ning Turbo Charging 75
4,4,5,10,2,Li-Ning 3D Calibar 900
9,2,10,5,7,Yonex Astrox 99
6,4,5,5,7,Victor Thruster K Falcon
3,1,4,6,4,Yonex Astrox 99
1,6,6,6,9,Victor Jetspeed S 12
4,1,10,6,8,Yonex Nanoray Z-Speed
9,10,4,2,1,Li-Ning Turbo Charging 75
3,6,7,10,1,Yonex Astrox 99
9,1,7,3,5,Babolat Satelite Gravity 74
7,6,2,6,6,Victor Jetspeed S 12
4,10,3,8,3,Victor Jetspeed S 12
3,8,1,1,9,Li-Ning Turbo Charging 75
10,2,8,1,10,Victor Jetspeed S 12
5,2,9,2,6,Babolat Satelite Gravity 74
5,4,4,6,4,Yonex Astrox 99
3,3,6,9,7,Li-Ning Turbo Charging 75
9,4,9,4,8,Yonex Voltric Z-Force II
4,7,6,3,9,Victor Jetspeed S 12
5,1,9,8,6,Victor Jetspeed S 12
4,6,4,10,6,Babolat Satelite Gravity 74
5,3,8,9,8,Yonex Nanoray Z-Speed
7,10,9,5,5,Yonex Nanoray Z-Speed
9,7,4,9,3,Li-Ning 3D Calibar 900
7,10,5,2,3,Victor Jetspeed S 12
5,2,8,3,6,Yonex Voltric Z-Force II
10,2,10,7,2,Yonex Astrox 99
10,4,6,7,6,Li-Ning Turbo Charging 75
7,1,7,6,6,Victor Jetspeed S 12
10,3,3,6,8,Victor Thruster K Falcon
5,9,7,2,7,Li-Ning Turbo Charging 75
3,7,8,10,8,Li-Ning 3D Calibar 900
7,7,10,6,9,Yonex Nanoray Z-Speed
2,4,6,4,6,Yonex Voltric Z-Force II
9,2,10,3,3,Victor Jetspeed S 12
10,4,9,2,10,Babolat Satelite Gravity 74
10,6,6,1,3,Victor Thruster K Falcon
1,3,9,5,1,Victor Jetspeed S 12
6,1,4,2,5,Yonex Voltric Z-Force II
7,8,8,2,4,Li-Ning 3D Calibar 900
8,5,4,7,9,Yonex Astrox 99
10,5,2,8,9,Victor Thruster K Falcon
9,4,10,10,5,Li-Ning 3D Calibar 900
2,6,9,8,10,Victor Jetspeed S 12
10,3,5,4,4,Yonex Astrox 99
2,9,4,1,7,Victor Thruster K Falcon
5,5,2,7,6,Yonex Astrox 99
5,3,1,1,4,Yonex Astrox 99
6,1,7,4,10,Victor Thruster K Falcon
3,10,6,8,2,Victor Thruster K Falcon
8,6,2,2,1,Yonex Astrox 99
1,2,8,6,4,Li-Ning 3D Calibar 900
6,3,4,6,4,Yonex Voltric Z-Force II
4,1,8,9,1,Yonex Nanoray Z-Speed
1,9,7,5,6,Victor Thruster K Falcon
7,8,5,10,4,Victor Jetspeed S 12
9,2,10,4,1,Li-Ning Turbo Charging 75
4,8,10,5,1,Babolat Satelite Gravity 74
4,9,8,10,1,Yonex Astrox 99
6,1,9,5,8,Yonex Astrox 99
3,5,5,8,10,Babolat Satelite Gravity 74
6,8,10,10,8,Yonex Nanoray Z-Speed
7,2,5,8,2,Babolat Satelite Gravity 74
10,4,2,2,7,Victor Thruster K Falcon
10,7,5,7,8,Babolat Satelite Gravity 74
3,3,3,8,8,Yonex Astrox 99
7,5,7,6,10,Babolat Satelite Gravity 74
